region;city;seis_A;seis_B;seis_C
РЕСПУБЛИКИКемеровская область;Абагур;7;7;8
РЕСПУБЛИКИКемеровская область;Анжеро-Судженск;6;6;7
РЕСПУБЛИКИКемеровская область;Артышта;6;7;8
РЕСПУБЛИКИКемеровская область;Барзас;6;6;7
РЕСПУБЛИКИКемеровская область;Бачатский;6;7;8
РЕСПУБЛИКИКемеровская область;Белово;6;7;8
РЕСПУБЛИКИКемеровская область;Белогорск;6;6;8
РЕСПУБЛИКИКемеровская область;Березовский;6;6;7
РЕСПУБЛИКИКемеровская область;Берикулькский;6;6;7
РЕСПУБЛИКИКемеровская область;Боровой;6;6;7
РЕСПУБЛИКИКемеровская область;Верх-Чебула;6;6;7
РЕСПУБЛИКИКемеровская область;Грамотеино;6;7;8
РЕСПУБЛИКИКемеровская область;Гурьевск;6;7;8
РЕСПУБЛИКИКемеровская область;Зеленогорский;6;6;7
РЕСПУБЛИКИКемеровская область;Ижморский;6;6;7
РЕСПУБЛИКИКемеровская область;Инской;6;7;8
РЕСПУБЛИКИКемеровская область;Итатский;6;6;7
РЕСПУБЛИКИКемеровская область;Каз;7;7;8
РЕСПУБЛИКИКемеровская область;Калтан;7;7;8
РЕСПУБЛИКИКемеровская область;Карагайлинский;6;7;8
РЕСПУБЛИКИКемеровская область;Кедровка;6;6;7
РЕСПУБЛИКИКемеровская область;Кемерово;6;6;7
Кировская область;Белая Холуница;-;-;6
Кировская область;Боровой;-;-;6
Кировская область;Вятские Поляны;-;6;7
Кировская область;Даровской;-;-;6
Кировская область;Демьяново;-;-;6
Кировская область;Заря;-;-;6
Кировская область;Кикнур;-;-;6
Кировская область;Кильмезь;-;-;6
Кировская область;Киров;-;-;6
Кировская область;Кирово-Чепецк;-;-;6
Кировская область;Котельнич;-;-;6
Костромская область;Ветлужский;-;-;6
Костромская область;Зебляки;-;-;6
Костромская область;Кадый;-;-;6
Костромская область;Макарьев;-;-;6
Курская область;Горшечное;-;-;6
Ленинградская область;Вейно;-;-;6
Липецкая область;Грязи;-;-;6
Липецкая область;Добринка;-;-;6
Липецкая область;Елец;-;-;6
Липецкая область;Задонск;-;-;6
Магаданская область;Адыгалах;8;9;10
Магаданская область;Армань;8;8;9
Магаданская область;Атка;7;8;9
Магаданская область;Балаганное;7;8;8
Магаданская область;Балыгычан;6;6;7
Магаданская область;Беличан;8;8;10
Магаданская область;Большевик;8;8;10
Магаданская область;Буксунда;7;7;8
Магаданская область;Буркандья;8;9;10
Магаданская область;Бурхала;8;8;9
Магаданская область;Верх. Парень;6;7;8
Магаданская область;Верхний Ат-Урях;7;8;9
Магаданская область;Верхний Балыгычан;7;8;9
Магаданская область;Верхний Сеймчан;7;8;9
Магаданская область;Гадля;8;9;10
Магаданская область;Галимый;7;7;9
Магаданская область;Гарманда;7;7;8
Магаданская область;Гвардеец;7;8;9
Магаданская область;Гижига;7;7;8
Магаданская область;Глухариный;6;6;7
Магаданская область;Дебин;7;8;9
Магаданская область;Дукат;7;7;9
Магаданская область;Кадыкчан;8;9;10
Московская область;Бакшеево;-;-;6
Московская область;Керва;-;-;6
Мурманская область;Апатиты;-;6;7
Мурманская область;Африканда;6;6;7
Мурманская область;Верхнетуломский;-;6;7
Мурманская область;Заозерск;6;6;7
Мурманская область;Заполярный;6;6;7
Мурманская область;Зашеек;6;6;7
Мурманская область;Зеленоборский;6;6;7
Мурманская область;Кандалакша;6;6;7
Мурманская область;Кильдинстрой;-;6;7
Мурманская область;Кировск;-;6;7
Мурманская область;Ковдор;6;6;7
Нижегородская область;Арья;-;-;7
Нижегородская область;Бабино;-;-;6
Нижегородская область;Балахна;-;6;6
Нижегородская область;Богородск;-;-;6
Нижегородская область;Большое Козино;-;-;6
Нижегородская область;Большое Мурашкино;-;-;6
Нижегородская область;Большое Пикино;-;6;7
Нижегородская область;Бор;-;6;7
Нижегородская область;Варнавино;-;6;7
Нижегородская область;Васильсурск;6;6;7
Нижегородская область;Вахтан;-;-;7
Нижегородская область;Ветлуга;-;-;7
Нижегородская область;Ветлужский;-;6;7
Нижегородская область;Володарск;-;-;6
Нижегородская область;Воротынец;-;6;7
Нижегородская область;Воскресенское;-;6;7
Нижегородская область;Гавриловка;-;-;6
Нижегородская область;Гидроторф;-;-;6
Нижегородская область;Горбатовка;-;-;6
Нижегородская область;Городец;-;6;6
Нижегородская область;Желнино;-;-;6
Новосибирская область;Бердск;6;7;8
Новосибирская область;Болотное;6;6;7
Новосибирская область;Горный;6;6;7
Новосибирская область;Довольное;-;-;6
Новосибирская область;Дорогино;6;7;8
Новосибирская область;Искитим;6;7;8
Новосибирская область;Карасук;-;-;6
Новосибирская область;Каргат;-;-;6
Новосибирская область;Колывань;6;6;7
Новосибирская область;Кольцово;6;6;8
Омская область;Большая Бича;-;-;6
Омская область;Большеречье;-;-;6
Омская область;Большие Уки;-;-;7
Омская область;Евгащино;-;-;6
Омская область;Ермиловка;-;-;6
Омская область;Знаменское;-;-;6
Оренбургская область;Акбулак;-;-;6
Оренбургская область;Аккермановка;-;-;6
Оренбургская область;Бугуруслан;-;-;6
Оренбургская область;Бузулук;-;-;6
Оренбургская область;Гай;-;-;6
Оренбургская область;Грачевка;-;-;6
Оренбургская область;Дубенский;-;-;6
Оренбургская область;Илек;-;-;6
Оренбургская область;Ириклинский;-;-;6
Оренбургская область;Каргала;-;-;6
Оренбургская область;Колтубановский;-;-;6
Пензенская область;Верхозим;-;-;6
Пензенская область;Евлашево;-;-;6
Пермская область;Александровск;-;6;7
Пермская область;Барда;-;-;6
Пермская область;Березники;-;-;6
Пермская область;Березовка;-;-;6
Пермская область;Верещагино;-;-;6
Пермская область;Верхнечус. Городки;-;6;7
Пермская область;Всеволодо-Вильва;-;6;7
Пермская область;Горнозаводск;6;6;7
Пермская область;Гремячинск;6;6;7
Пермская область;Губаха;-;6;7
Пермская область;Дивья;-;6;7
Пермская область;Добрянка;-;-;7
Пермская область;Елово;-;-;6
Пермская область;Звездный;-;-;7
Пермская область;Зюкайка;-;-;6
Пермская область;Ильинский;-;-;6
Пермская область;Калино;6;6;7
Пермская область;Карагай;-;-;6
Пермская область;Керчевский;-;-;6
Пермская область;Кизел;-;6;7
Пермская область;Комарихинский;-;6;7
Пермская область;Кордон;6;6;7
Пермская область;Красновишерск;-;-;6
Пермская область;Краснокамск;-;-;6
Пермская область;Кукуштан;-;-;7
Пермская область;Кунгур;-;6;7
Ростовская область;Азов;6;6;7
Ростовская область;Аксай;6;6;7
Ростовская область;Алмазный;-;-;6
Ростовская область;Аютинский;-;-;6
Ростовская область;Багаевская;-;-;7
Ростовская область;Батайск;6;6;7
Ростовская область;Белая Калитва;-;-;6
Ростовская область;Боковская;-;-;6
Ростовская область;Больш. Мартыновка;-;-;6
Ростовская область;Вешенская;-;-;6
Ростовская область;Гигант;-;-;6
Ростовская область;Глубокий;-;-;6
Ростовская область;Горный;-;-;6
Ростовская область;Гуково;-;-;6
Ростовская область;Гундоровский;-;-;6
Ростовская область;Донецк;-;-;6
Ростовская область;Донской;6;6;7
Ростовская область;Егорлыкская;-;6;6
Рязанская область;Александро-Невский;-;-;6
Самарская область;Алексеевка;-;-;6
Самарская область;Балашейка;-;6;7
Самарская область;Безенчук;-;-;6
Самарская область;Богатое;-;-;6
Самарская область;Богатырь;-;-;6
Самарская область;Борское;-;-;6
Самарская область;Волжский;-;-;6
Самарская область;Жигулевск;-;-;7
Самарская область;Зольное;-;-;7
Самарская область;Зубчаниновка;-;-;7
Самарская область;Кинель;-;-;6
Самарская область;Клявлино;-;-;6
Самарская область;Кошки;-;6;7
Самарская область;Красноармейское;-;-;6
Саратовская область;Александров Гай;-;-;6
Саратовская область;Алексеевка;-;-;7
Саратовская область;Аткарск;-;-;6
Саратовская область;Базарный Карабулак;-;6;7
Саратовская область;Балаково;-;-;6
Саратовская область;Балтай;-;6;7
Саратовская область;Возрождение;-;6;7
Саратовская область;Вольск;-;6;7
Саратовская область;Дергачи;-;-;6
Саратовская область;Духовницкое;-;-;7
Саратовская область;Жасминный;-;6;7
Саратовская область;Калининск;-;-;6
Саратовская область;Каменский;-;6;7
Саратовская область;Красный Октябрь;-;6;7
Сахалинская область;Александровск-Сахалинский;9;9;10
Сахалинская область;Анива;8;9;9
Сахалинская область;Бошняково;9;9;10
Сахалинская область;Буюклы;8;9;9
Сахалинская область;Быков;8;9;9
Сахалинская область;Вахрушев;8;9;9
Сахалинская область;Взморье;8;9;9
Сахалинская область;Восток;8;9;9
Сахалинская область;Гастелло;8;9;9
Сахалинская область;Горнозаводск;9;9;9
Сахалинская область;Горный;9;10;10
Сахалинская область;Горячие Ключи;9;10;10
Сахалинская область;Долинск;8;8;9
Сахалинская область;Дуэ;9;9;10
Сахалинская область;Ильинский;8;9;9
Сахалинская область;Катангли;9;9;10
Сахалинская область;Китовый;9;10;10
Сахалинская область;Колендо;9;10;10
Сахалинская область;Корсаков;8;8;9
Сахалинская область;Красногорск;8;9;10
Сахалинская область;Курильск;9;10;10
Свердловская область;Алапаевск;-;-;6
Свердловская область;Арамиль;-;6;8
Свердловская область;Артемовский;-;-;6
Свердловская область;Арти;6;6;7
Свердловская область;Адбестовский;-;-;6
Свердловская область;Атиг;6;6;8
Свердловская область;Ачит;6;6;7
Свердловская область;Аять;6;6;8
Свердловская область;Байкалово;-;-;6
Свердловская область;Баранчинский;6;6;7
Свердловская область;Басьяновский;-;-;6
Свердловская область;Белоречка;6;6;7
Свердловская область;Белоярский;-;6;7
Свердловская область;Березовский;-;6;8
Свердловская область;Билимбай;6;6;8
Свердловская область;Бисерть;6;6;8
Свердловская область;Бобровский;-;6;8
Свердловская область;Богданович;-;-;6
Свердловская область;Большой Исток;-;6;8
Свердловская область;Валериановск;-;6;7
Свердловская область;Верх-Нейвинский;6;6;8
Свердловская область;Верхнее Дуброво;-;6;7
Свердловская область;Верхняя Пышма;-;6;8
Свердловская область;Верхние Серги;6;6;8
Свердловская область;Верхний Тагил;6;6;7
Свердловская область;Верхняя Салда;-;6;7
