city;region;wind_region;w0_kpa
Ветровые районы (принимаются по карте 2 приложения Е);Iа;I;II
Абаза;Республика Хакасия;III;0.38
Абакан;Республика Хакасия;III;0.38
Абдулино;Оренбургская область;III;0.38
Агинское;Забайкальский край;III;0.38
Агрыз;Республика Татарстан;I;0.23
Ай-Петри;Республика Крым;VII;0.85
Айхал;Республика Саха (Якутия);I;0.23
Ак-Довурак;Республика Тыва;III;0.38
Алакуртти;Мурманская область;I;0.23
Алапаевск;Свердловская область;I;0.23
Алатырь;Чувашская Республика;II;0.30
Алдан;Республика Саха (Якутия);I;0.23
Алейск;Алтайский край;III;0.38
Александров-Гай;Саратовская область;III;0.38
Александровск-Сахалинский;Сахалинская область;V;0.60
Аллах-Юнь;Республика Саха (Якутия);I;0.23
Алтан;Забайкальский край;III;0.38
Алушта;Республика Крым;III;0.38
Альметьевск;Республика Татарстан;II;0.30
Амга;Республика Саха (Якутия);I;0.23
Амдерма;Ненецкий Автономный округ;VI;0.73
Амурзет;Еврейская автономная область;II;0.30
Амурск;Хабаровский край;III;0.38
Анадырь;Чукотский Автономный округ;VII;0.85
Анапа;Краснодарский край;V;0.60
Ангарск;Иркутская область;III;0.38
Ангарский перевал;Республика Крым;VII;0.85
Анжеро-Судженск;Кемеровская обл.;III;0.38
Апатиты;Мурманская область;II;0.30
Аргунск;Забайкальский край;II;0.30
Арзамас;Нижегородская область;I;0.23
Армавир;Краснодарский край;IV;0.48
Армянск;Республика Крым;III;0.38
Арсеньев;Приморский край;III;0.38
Артём;Приморский край;IV;0.48
Артёмовский;Свердловская область;I;0.23
Архангельск;Архангельская область;II;0.30
Асбест;Свердловская область;I;0.23
Асино;Томская область;II;0.30
Астрахань;Астраханская область;III;0.38
Аткарск;Саратовская область;II;0.30
Ахтубинск;Астраханская область;III;0.38
Ачинск;Красноярский край;III;0.38
Аян;Хабаровский край;VI;0.73
Аянка;Пенжинский район, Камчатский край;III;0.38
Бабаево;Вологодская область;I;0.23
Багадя;Республика Саха (Якутия);I;0.23
Багдарин;Республика Бурятия;II;0.30
Байкал;Иркутская область;III;0.38
Байкальск;Иркутская область;III;0.38
Байкит;Красноярский край;I;0.23
Балаково;Саратовская область;III;0.38
Балашов;Саратовская область;II;0.30
Балей;Забайкальский край;II;0.30
Балтийск;Калининградская область;III;0.38
Балыгычан;Магаданская область;I;0.23
Барабинск;Новосибирская область;III;0.38
Барнаул;Алтайский край;III;0.38
Батайск;Ростовская область;III;0.38
Бахчисарай;Республика Крым;II;0.30
Бежецк;Тверская область;I;0.23
Белая Гора;Республика Саха (Якутия);II;0.30
Белая Калитва;Ростовская область;III;0.38
Белгород;Белгородская область;II;0.30
Белебей;Республика Башкортостан;II;0.30
Белёв;Тульская область;I;0.23
Белово;Кемеровская область;III;0.38
Белогорск;Амурская облаcть;II;0.30
Белогорск;Республика Крым;II;0.30
Белогорск;Тисульский муниципальный округ, Кемеровская область;III;0.38
Белозерск;Вологодская область;I;0.23
Белокуриха;Алтайский край;III;0.38
Беломорск;Республика Карелия;II;0.30
Белорецк;Республика Башкортостан;II;0.30
Белоярский;Ханты-Мансийский автономный округ;I;0.23
Белый Яр;Томская область;I;0.23
Бердигестях;Республика Саха (Якутия);I;0.23
Березники;Пермский край;I;0.23
Беринговский;Чукотский Автономный округ;VII;0.85
Бийск;Алтайский край;III;0.38
Бикин;Хабаровский край;III;0.38
Билибино;Чукотский автономный округ;I;0.23
Биробиджан;Еврейская автономная область;III;0.38
Благовещенск;Амурская облаcть;II;0.30
Бодайбо;Иркутская область;Ia;0.17
Бологое;Тверская область;I;0.23
Большие Уки;Омская область;I;0.23
Большая Талда;Кемеровская область;III;0.38
Борзя;Забайкальский край;III;0.38
Братск;Иркутская область;II;0.30
Брянск;Брянская область;I;0.23
Бугуруслан;Оренбургская область;III;0.38
Будённовск;Ставропольский край;IV;0.48
Бузулук;Оренбургская область;III;0.38
Буинск;Республика Татарстан;II;0.30
Буй;Костромская область;I;0.23
Букачача;Забайкальский край;II;0.30
Буктыл;Республика Коми;I;0.23
Бутульма;Республика Татарстан;II;0.30
Вагай;Тюменская область;I;0.23
Валдай;Новгородская область;I;0.23
Валуйки;Белгородская область;II;0.30
Ванавара;Красноярский край;I;0.23
Ванино;Хабаровский край;VI;0.73
Великие Луки;Псковская область;I;0.23
Великий Новгород;Новгородская область;I;0.23
Великий Устюг;Вологодская область;I;0.23
Вельск;Архангельская область;I;0.23
Верхоянск;Республика Саха (Якутия);I;0.23
Вилюйск;Республика Саха (Якутия);I;0.23
Вилючинск;Камчатский край;VI;0.73
Витим;Республика Саха (Якутия);Ia;0.17
Владивосток;Приморский край;IV;0.48
